pond,lat,manual,granule_id,gtx,source
1,-72.99507999999942,2.1146649778528137,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99506999999942,2.1199197863840658,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99505999999941,2.124576083812715,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99504999999941,2.1293796748473306,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.9950399999994,2.13465581478932,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.9950299999994,2.139705211220916,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.9950199999994,2.144754607652512,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.9950099999994,2.1494508884534063,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.9949999999994,2.1539022163011694,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99498999999939,2.1581186368578886,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99497999999939,2.160392753483198,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99496999999938,2.16090097451982,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99495999999938,2.1599750749482487,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99494999999938,2.159289273611222,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99493999999937,2.1585010219475484,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99492999999937,2.157395487422041,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99491999999937,2.1565089331251293,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99490999999936,2.156312814768517,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
